;I;Q;I_hex;Q_hex
858;-0.0037848353385925293;0.0012707710266113281;00ff07f4;00005348
859;-0.0037848353385925293;0.0012726783752441406;00ff07f4;00005368
860;-0.0037775039672851562;0.0012592077255249023;00ff086f;00005286
861;-0.0037862658500671387;0.0012615323066711426;00ff07dc;000052ad
862;-0.003782212734222412;0.0012648701667785645;00ff0820;000052e5
863;-0.0037806034088134766;0.0012627243995666504;00ff083b;000052c1
864;-0.003785073757171631;0.0012679696083068848;00ff07f0;00005319
865;-0.003779172897338867;0.0012783408164978027;00ff0853;000053c7
866;-0.0037865042686462402;0.0012610554695129395;00ff07d8;000052a5
867;-0.0037931203842163086;0.001259922981262207;00ff0769;00005292
868;-0.0037959814071655273;0.0012532472610473633;00ff0739;00005222
869;-0.0037755966186523438;0.001250922679901123;00ff088f;000051fb
870;-0.0037955045700073242;0.0012615323066711426;00ff0741;000052ad
871;-0.003794550895690918;0.0012646317481994629;00ff0751;000052e1
872;-0.0037824511528015137;0.0012456774711608887;00ff081c;000051a3
873;-0.0037836432456970215;0.0012542009353637695;00ff0808;00005232
874;-0.0037865042686462402;0.00126725435256958;00ff07d8;0000530d
875;-0.0037836432456970215;0.0012691020965576172;00ff0808;0000532c
876;-0.0037716031074523926;0.0012674927711486816;00ff08d2;00005311
877;-0.0037736892700195312;0.001266777515411377;00ff08af;00005305
878;-0.003776073455810547;0.0012605786323547363;00ff0887;0000529d
879;-0.003781259059906006;0.0012674927711486816;00ff0830;00005311
880;-0.00376969575881958;0.0012603998184204102;00ff08f2;0000529a
881;-0.003766357898712158;0.0012494921684265137;00ff092a;000051e3
882;-0.0037789344787597656;0.0012643933296203613;00ff0857;000052dd
883;-0.00377655029296875;0.0012622475624084473;00ff087f;000052b9
884;-0.003780364990234375;0.0012670159339904785;00ff083f;00005309
885;-0.003787696361541748;0.0012617707252502441;00ff07c4;000052b1
886;-0.0037862658500671387;0.0012521147727966309;00ff07dc;0000520f
887;-0.0037810802459716797;0.0012693405151367188;00ff0833;00005330
888;-0.0037886500358581543;0.0012610554695129395;00ff07b4;000052a5
889;-0.0037955045700073242;0.0012573003768920898;00ff0741;00005266
890;-0.003778219223022461;0.0012558698654174805;00ff0863;0000524e
891;-0.0038011670112609863;0.0012537240982055664;00ff06e2;0000522a
892;-0.003792405128479004;0.0012605786323547363;00ff0775;0000529d
893;-0.0037810802459716797;0.0012563467025756836;00ff0833;00005256
894;-0.0037836432456970215;0.0012506842613220215;00ff0808;000051f7
895;-0.0037897825241088867;0.0012534856796264648;00ff07a1;00005226
896;-0.003789067268371582;0.0012516379356384277;00ff07ad;00005207
897;-0.003782927989959717;0.0012518763542175293;00ff0814;0000520b
898;-0.003796398639678955;0.0012521147727966309;00ff0732;0000520f
899;-0.003785550594329834;0.00125044584274292;00ff07e8;000051f3
900;-0.0037888288497924805;0.0012440681457519531;00ff07b1;00005188
901;-0.003803551197052002;0.0012364983558654785;00ff06ba;00005109
902;-0.0038151144981384277;0.0012267827987670898;00ff05f8;00005066
903;-0.0037943124771118164;0.0012447834014892578;00ff0755;00005194
904;-0.0037848353385925293;0.0012530088424682617;00ff07f4;0000521e
905;-0.0037893056869506836;0.0012499690055847168;00ff07a9;000051eb
906;-0.0037935972213745117;0.0012497305870056152;00ff0761;000051e7
907;-0.003780364990234375;0.0012480616569519043;00ff083f;000051cb
908;-0.0037886500358581543;0.0012483000755310059;00ff07b4;000051cf
909;-0.003789067268371582;0.001248776912689209;00ff07ad;000051d7
910;-0.003796219825744629;0.001238107681274414;00ff0735;00005124
911;-0.0037994980812072754;0.0012385845184326172;00ff06fe;0000512c
912;-0.0038037896156311035;0.00123673677444458;00ff06b6;0000510d
913;-0.0038004517555236816;0.0012360215187072754;00ff06ee;00005101
914;-0.0037897825241088867;0.0012378692626953125;00ff07a1;00005120
915;-0.0038028359413146973;0.001228928565979004;00ff06c6;0000508a
916;-0.0037994980812072754;0.0012274980545043945;00ff06fe;00005072
917;-0.0037959814071655273;0.0012331604957580566;00ff0739;000050d1
918;-0.003812253475189209;0.0012426376342773438;00ff0628;00005170
919;-0.0038004517555236816;0.0012322068214416504;00ff06ee;000050c1
920;-0.0037999749183654785;0.0012208819389343262;00ff06f6;00005003
921;-0.0037926435470581055;0.001223444938659668;00ff0771;0000502e
922;-0.003805875778198242;0.0012232065200805664;00ff0693;0000502a
923;-0.0038025975227355957;0.0012265443801879883;00ff06ca;00005062
924;-0.00380706787109375;0.0012542009353637695;00ff067f;00005232
925;-0.0037919282913208008;0.0012296438217163086;00ff077d;00005096
926;-0.0037904977798461914;0.001223921775817871;00ff0795;00005036
927;-0.0037999749183654785;0.001220405101776123;00ff06f6;00004ffb
928;-0.003801405429840088;0.001220405101776123;00ff06de;00004ffb
929;-0.003808259963989258;0.0012158751487731934;00ff066b;00004faf
930;-0.003804922103881836;0.0012317299842834473;00ff06a3;000050b9
931;-0.003796398639678955;0.001216590404510498;00ff0732;00004fbb
932;-0.0037897825241088867;0.001223444938659668;00ff07a1;0000502e
933;-0.003801882266998291;0.0012229681015014648;00ff06d6;00005026
934;-0.003798544406890869;0.0012322068214416504;00ff070e;000050c1
935;-0.0037919282913208008;0.001225113868713379;00ff077d;0000504a
936;-0.003802359104156494;0.0012218356132507324;00ff06ce;00005013
937;-0.003803551197052002;0.001227736473083496;00ff06ba;00005076
938;-0.003790736198425293;0.0012267827987670898;00ff0791;00005066
939;-0.0037938356399536133;0.0012284517288208008;00ff075d;00005082
940;-0.003798544406890869;0.0012102127075195312;00ff070e;00004f50
941;-0.003802359104156494;0.00120621919631958;00ff06ce;00004f0d
942;-0.0037921667098999023;0.0012180209159851074;00ff0779;00004fd3
943;-0.0037983059883117676;0.0012286901473999023;00ff0712;00005086
944;-0.0037994980812072754;0.00121992826461792;00ff06fe;00004ff3
945;-0.003799259662628174;0.001216113567352295;00ff0702;00004fb3
946;-0.003798067569732666;0.0012208819389343262;00ff0716;00005003
947;-0.0037952661514282227;0.00121307373046875;00ff0745;00004f80
948;-0.003801405429840088;0.001211404800415039;00ff06de;00004f64
949;-0.0038037896156311035;0.0012099742889404297;00ff06b6;00004f4c
950;-0.0037994980812072754;0.0012055039405822754;00ff06fe;00004f01
951;-0.0038084983825683594;0.0012028813362121582;00ff0667;00004ed5
952;-0.0038063526153564453;0.0012028813362121582;00ff068b;00004ed5
953;-0.003796398639678955;0.001207590103149414;00ff0732;00004f24
954;-0.003809213638305664;0.001207590103149414;00ff065b;00004f24
955;-0.003799736499786377;0.0012080669403076172;00ff06fa;00004f2c
956;-0.003801882266998291;0.0011986494064331055;00ff06d6;00004e8e
957;-0.0038068294525146484;0.0011991262435913086;00ff0683;00004e96
958;-0.0038068294525146484;0.0011991262435913086;00ff0683;00004e96
959;-0.00379335880279541;0.001202404499053955;00ff0765;00004ecd
960;-0.003798544406890869;0.0011981725692749023;00ff070e;00004e86
961;-0.0038046836853027344;0.0011865496635437012;00ff06a7;00004dc3
962;-0.0038129687309265137;0.0011901259422302246;00ff061c;00004dff
963;-0.0038025975227355957;0.0011913180351257324;00ff06ca;00004e13
964;-0.0038073062896728516;0.0011889338493347168;00ff067b;00004deb
965;-0.003794550895690918;0.0011782646179199219;00ff0751;00004d38
966;-0.0038004517555236816;0.0011920332908630371;00ff06ee;00004e1f
967;-0.003805875778198242;0.001193404197692871;00ff0693;00004e36
968;-0.003794550895690918;0.0011865496635437012;00ff0751;00004dc3
